posicion pixel,I minima,numero_pixel,elemento,long_onda
41.3528,19830.1866,0,Fe,626.5141
207.3485,22249.2724,1,Fe,627.0231
241.9030,27283.0418,2,Fe,627.1283
497.4476,20888.2961,13,O2,627.9101
523.4014,21594.6366,15,O2,627.9896
539.8224,20868.1103,16,O2,628.0393
547.2042,21367.1323,17,Fe,628.0622
565.5128,22209.1630,18,O2,628.1178
591.0233,22647.0943,19,O2,628.1956
616.2307,21706.2493,21,O2,628.2726
651.2554,24530.1403,22,O2,628.3796
780.9237,25193.8679,26,O2,628.7749
835.1262,24345.6067,28,O2,628.9398
862.2402,22922.9613,29,O2,629.0221
886.6959,22689.7016,30,Fe,629.0974
925.9070,22977.8401,31,O2,629.2162
952.1400,21475.8117,33,O2,629.2958
1025.1168,22284.2381,35,O2,629.5178
1050.8834,21562.8302,36,O2,629.5960
1111.2665,20742.9402,38,Fe,629.7799
1132.9403,22111.8988,39,O2,629.8457
1158.4656,20806.3120,40,O2,629.9228
1233.6028,17253.7106,42,Fe,630.1508
1249.6370,21609.9936,43,O2,630.2000
1266.0070,20069.9531,45,Fe,630.2499
1274.7910,22556.9859,46,O2,630.2764
1375.2907,23892.2146,47,O2,630.5810
1400.1765,23474.0763,48,O2,630.6565
1509.9662,24073.1649,49,O2,630.9886
