posicion pixel,I minima,numero_pixel,elemento,long_onda
42.9899,19808.882,0,Fe,626.5141
209.1341,23275.595,1,Fe,627.0231
243.1676,27572.6369,2,Fe,627.1283
499.5038,24054.8410,13,O2,627.9101
525.2882,24814.1260,15,O2,627.9896
541.8035,24168.6629,16,O2,628.0393
548.9695,21277.7581,17,Fe,628.0622
567.3976,25417.2168,18,O2,628.1178
592.9084,25576.2633,19,O2,628.1956
617.9620,24547.2276,21,O2,628.2726
653.2153,27174.4536,22,O2,628.3796
782.9040,27412.7513,25,O2,628.7749
837.0917,27201.3671,26,O2,628.9398
864.1295,26126.4042,27,O2,629.0221
888.3650,22461.3914,28,Fe,629.0974
927.7881,25796.1891,29,O2,629.2162
1027.0251,25701.1076,33,O2,629.5178
1052.8684,24664.9467,34,O2,629.5960
1112.8478,20621.9939,36,Fe,629.7799
1134.9343,25208.5651,37,O2,629.8457
1160.3570,24306.3119,38,O2,629.9228
1235.3037,17399.0270,40,Fe,630.1508
1251.5035,24726.6326,42,O2,630.2000
1267.6602,20523.5487,45,Fe,630.2499
1276.6836,25480.0174,46,O2,630.2764
1377.1572,27208.3405,47,O2,630.5810
1402.1018,27093.9151,48,O2,630.6565
1511.9312,26507.4843,49,O2,630.9886
