posicion pixel,I minima,numero_pixel,elemento,long_onda
42.7866,21009.0047,0,Fe,626.5141
209.0422,17973.1894,2,Fe,627.0231
242.8389,21674.9665,3,Fe,627.1283
498.7143,14864.1801,15,O2,627.9101
524.6626,15669.1629,16,O2,627.9896
541.0794,15165.8284,17,O2,628.0393
548.4668,17828.6258,18,Fe,628.0622
566.7081,16575.2859,19,O2,628.1178
592.2226,16689.1103,21,O2,628.1956
617.5033,15324.2151,23,O2,628.2726
652.5278,18084.9313,24,O2,628.3796
782.2558,16932.3865,30,O2,628.7749
836.2106,16887.7987,35,O2,628.9398
863.4068,15958.7364,36,O2,629.0221
887.4947,17194.9730,37,Fe,629.0974
927.1437,17493.5696,38,O2,629.2162
953.3894,17073.2363,41,O2,629.2958
1026.3005,16015.8130,43,O2,629.5178
1052.0677,15367.3171,44,O2,629.5960
1112.6555,18076.1427,46,Fe,629.7799
1134.2097,16893.5185,47,O2,629.8457
1159.7060,14799.4048,48,O2,629.9228
1234.7554,13794.1940,50,Fe,630.1508
1250.7972,16050.3413,51,O2,630.2000
1267.4062,16072.1568,53,Fe,630.2499
1276.0367,15811.4895,54,O2,630.2764
1376.5478,17069.8353,56,O2,630.5810
1401.4847,17230.0245,57,O2,630.6565
1511.0006,17852.9997,59,O2,630.9886
