posicion pixel,I minima,numero_pixel,elemento,long_onda
43.8167,19090.6905,0,Fe,626.5141
210.0360,20671.6992,2,Fe,627.0231
500.0028,20279.988,13,O2,627.9101
526.0103,20848.864,15,O2,627.9896
542.3109,20280.4753,16,O2,628.0393
549.7879,20584.7967,17,Fe,628.0622
568.6858,22421.3925,18,O2,628.1178
593.4738,21527.9100,19,O2,628.1956
618.1368,21457.3730,21,O2,628.2726
653.6066,23276.4721,23,O2,628.3796
783.5704,23916.6551,25,O2,628.7749
837.6556,23059.3753,27,O2,628.9398
864.6320,21730.0110,28,O2,629.0221
889.0342,20877.5083,29,Fe,629.0974
928.3870,21973.2761,30,O2,629.2162
954.7635,21327.8245,32,O2,629.2958
1027.5863,21408.314,34,O2,629.5178
1053.2711,20852.2587,35,O2,629.5960
1113.6631,19384.6390,37,Fe,629.7799
1135.4175,20734.8593,38,O2,629.8457
1160.8163,19701.7661,39,O2,629.9228
1236.3062,16642.0130,41,Fe,630.1508
1251.9643,20387.4570,43,O2,630.2000
1268.8669,19121.2402,45,Fe,630.2499
1276.8921,20824.3299,46,O2,630.2764
1377.9208,21952.8040,47,O2,630.5810
1402.8525,21808.6589,48,O2,630.6565
1512.5475,21823.4462,49,O2,630.9886
