posicion pixel,I minima,numero_pixel,elemento,long_onda
42.6143,18218.7481,0,Fe,626.5141
208.7999,21015.8797,1,Fe,627.0231
242.8283,24637.5853,2,Fe,627.1283
499.0403,21807.6687,12,O2,627.9101
524.8743,22348.1471,14,O2,627.9896
541.3941,21979.7168,15,O2,628.0393
548.6501,18950.4843,16,Fe,628.0622
566.9456,22985.0195,17,O2,628.1178
592.5178,22908.1984,18,O2,628.1956
617.7349,21798.1705,20,O2,628.2726
652.8756,24201.6723,21,O2,628.3796
782.6568,24705.5353,24,O2,628.7749
836.7224,24337.3662,25,O2,628.9398
863.7602,23446.936,26,O2,629.0221
888.1626,19850.8801,27,Fe,629.0974
927.5600,22957.3495,28,O2,629.2162
953.5737,21976.1415,31,O2,629.2958
1026.7134,22626.3461,34,O2,629.5178
1052.3905,22006.3964,35,O2,629.5960
1112.6768,17952.1874,37,Fe,629.7799
1134.3734,22400.3382,38,O2,629.8457
1159.9808,21419.4516,39,O2,629.9228
1234.9687,14714.2377,41,Fe,630.1508
1251.1555,21497.1223,42,O2,630.2000
1267.3832,17762.8758,45,Fe,630.2499
1276.3614,22515.5036,46,O2,630.2764
1376.8441,23669.3642,47,O2,630.5810
1401.5401,23587.0775,48,O2,630.6565
1511.3964,22687.5849,49,O2,630.9886
