posicion pixel,I minima,numero_pixel,elemento,long_onda
75.3893,13395.1593,12,Fe,626.5141
241.5313,16129.4186,17,Fe,627.0231
275.9236,18336.7357,18,Fe,627.1283
532.1042,21305.7240,33,O2,627.9101
558.0972,20362.1235,35,O2,627.9896
574.4049,19451.6424,36,O2,628.0393
581.3426,16845.5415,37,Fe,628.0622
600.0289,20774.7420,38,O2,628.1178
625.6865,21081.4183,40,O2,628.1956
651.0850,20815.0773,42,O2,628.2726
685.9844,21684.8060,44,O2,628.3796
815.7664,22345.3507,51,O2,628.7749
869.7278,18197.4599,54,O2,628.9398
896.8707,16857.0704,56,O2,629.0221
920.9712,14857.6219,57,Fe,629.0974
1059.9377,18453.4596,68,O2,629.5178
1085.5440,16339.9205,70,O2,629.5960
1145.4438,14410.6700,72,Fe,629.7799
1167.6792,18256.3081,74,O2,629.8457
1193.0695,16787.6015,75,O2,629.9228
1267.5166,14640.1631,78,Fe,630.1508
1284.3902,22220.8459,79,O2,630.2000
1300.2738,14826.4383,80,Fe,630.2499
1309.5708,18877.5166,81,O2,630.2764
1410.0099,21721.8662,84,O2,630.5810
1434.8986,22423.6176,85,O2,630.6565
