posicion pixel,I minima,numero_pixel,elemento,long_onda
43.5739,20222.3553,0,Fe,626.5141
209.8128,23305.2275,1,Fe,627.0231
243.9804,27749.8528,2,Fe,627.1283
499.8554,23036.9741,13,O2,627.9101
525.6108,23741.0553,16,O2,627.9896
542.1065,23243.0005,17,O2,628.0393
549.5303,20987.7354,18,Fe,628.0622
567.6625,24690.2158,20,O2,628.1178
593.3639,24583.7770,21,O2,628.1956
618.1690,24102.3857,23,O2,628.2726
653.5502,26400.2740,25,O2,628.3796
783.3147,26529.4969,30,O2,628.7749
837.4773,26203.5395,32,O2,628.9398
864.5317,24893.1564,33,O2,629.0221
888.9443,21920.0469,34,Fe,629.0974
928.1954,24984.2477,35,O2,629.2162
954.3508,23750.5647,38,O2,629.2958
1027.6655,24436.3898,41,O2,629.5178
1053.2050,23791.5124,42,O2,629.5960
1113.5670,20060.8530,45,Fe,629.7799
1135.2779,24212.7804,46,O2,629.8457
1160.7925,22915.8796,47,O2,629.9228
1235.7391,16957.5771,49,Fe,630.1508
1252.0770,23356.3006,51,O2,630.200
1377.6762,25720.6997,56,O2,630.5810
1402.5820,25470.5129,57,O2,630.6565
1512.2122,25211.0478,59,O2,630.9886
